Date,Home Team,Away Team,Score
19-07-2024,AGF Aarhus,Midtjylland,1 - 1
28-07-2024,FC Copenhagen,AGF Aarhus,3 - 2
02-08-2024,AGF Aarhus,SønderjyskE,4 - 0
11-08-2024,Brondby,AGF Aarhus,0 - 1
19-08-2024,AGF Aarhus,Vejle Boldklub,5 - 1
19-07-2024,FC Nordsjaelland,AaB,3 - 0
28-07-2024,AaB,Silkeborg IF,2 - 1
03-08-2024,Midtjylland,AaB,2 - 0
12-08-2024,Viborg,AaB,2 - 3
18-08-2024,AaB,Brondby,0 - 4
21-07-2024,Viborg,Brondby,3 - 3
29-07-2024,Brondby,Vejle Boldklub,2 - 1
04-08-2024,Lyngby Boldklub,Brondby,0 - 2
11-08-2024,Brondby,AGF Aarhus,0 - 1
18-08-2024,AaB,Brondby,0 - 4
22-07-2024,Lyngby Boldklub,FC Copenhagen,0 - 2
28-07-2024,FC Copenhagen,AGF Aarhus,3 - 2
04-08-2024,FC Copenhagen,Randers FC,1 - 1
11-08-2024,SønderjyskE,FC Copenhagen,0 - 2
18-08-2024,FC Copenhagen,Viborg,1 - 1
19-07-2024,FC Nordsjaelland,AaB,3 - 0
27-07-2024,FC Nordsjaelland,Midtjylland,2 - 2
05-08-2024,Vejle Boldklub,FC Nordsjaelland,0 - 1
11-08-2024,FC Nordsjaelland,Lyngby Boldklub,1 - 1
18-08-2024,Silkeborg IF,FC Nordsjaelland,4 - 1
22-07-2024,Lyngby Boldklub,FC Copenhagen,0 - 2
26-07-2024,SønderjyskE,Lyngby Boldklub,1 - 1
04-08-2024,Lyngby Boldklub,Brondby,0 - 2
11-08-2024,FC Nordsjaelland,Lyngby Boldklub,1 - 1
16-08-2024,Lyngby Boldklub,Midtjylland,1 - 2
19-07-2024,AGF Aarhus,Midtjylland,1 - 1
27-07-2024,FC Nordsjaelland,Midtjylland,2 - 2
03-08-2024,Midtjylland,AaB,2 - 0
09-08-2024,Midtjylland,Vejle Boldklub,2 - 0
16-08-2024,Lyngby Boldklub,Midtjylland,1 - 2
21-07-2024,Vejle Boldklub,Randers FC,2 - 3
28-07-2024,Randers FC,Viborg,3 - 1
04-08-2024,FC Copenhagen,Randers FC,1 - 1
11-08-2024,Randers FC,Silkeborg IF,0 - 2
18-08-2024,Randers FC,SønderjyskE,1 - 2
21-07-2024,Silkeborg IF,SønderjyskE,1 - 0
28-07-2024,AaB,Silkeborg IF,2 - 1
04-08-2024,Silkeborg IF,Viborg,3 - 2
11-08-2024,Randers FC,Silkeborg IF,0 - 2
18-08-2024,Silkeborg IF,FC Nordsjaelland,4 - 1
21-07-2024,Silkeborg IF,SønderjyskE,1 - 0
26-07-2024,SønderjyskE,Lyngby Boldklub,1 - 1
02-08-2024,AGF Aarhus,SønderjyskE,4 - 0
11-08-2024,SønderjyskE,FC Copenhagen,0 - 2
18-08-2024,Randers FC,SønderjyskE,1 - 2
21-07-2024,Vejle Boldklub,Randers FC,2 - 3
29-07-2024,Brondby,Vejle Boldklub,2 - 1
05-08-2024,Vejle Boldklub,FC Nordsjaelland,0 - 1
09-08-2024,Midtjylland,Vejle Boldklub,2 - 0
19-08-2024,AGF Aarhus,Vejle Boldklub,5 - 1
21-07-2024,Viborg,Brondby,3 - 3
28-07-2024,Randers FC,Viborg,3 - 1
04-08-2024,Silkeborg IF,Viborg,3 - 2
12-08-2024,Viborg,AaB,2 - 3
18-08-2024,FC Copenhagen,Viborg,1 - 1
